01;0260251;819;065622.00
02;0586009;895;065936.00
03;0169755;813;062458.00
04;0591699;205;059986.00
05;0126542;484;090540.00
06;0411955;538;043067.00
07;0647031;152;050935.00
08;0380717;780;032419.00
09;0192932;882;089481.00
10;0259924;733;040989.00
11;0454045;622;034781.00
12;0565664;971;068813.00
13;0350080;868;027517.00
14;0659219;054;094604.00
15;0033723;344;004838.00
16;0393808;725;080107.00
17;0090846;350;084740.00
18;0183757;303;081747.00
19;0612618;923;079428.00
20;0699821;788;005034.00
21;0022233;984;019267.00
22;0686053;997;026538.00
23;0597383;211;049936.00
24;0406268;553;033968.00
25;0347752;051;060029.00
